,date,symbol,type,time_enter,px_enter,time_exit,px_exit,pnl
1299,2018-09-28 00:00:00,i,long,2018-09-28 11:15:00,494.5,2018-09-28 14:15:00,494.5,-200.0
1300,2018-10-10 00:00:00,i,short,2018-10-10 09:30:00,512.0,2018-10-10 13:45:00,515.5,-450.0
1301,2018-10-12 00:00:00,i,long,2018-10-12 13:45:00,516.0,2018-10-12 22:30:00,513.0,-400.0
1302,2018-10-12 00:00:00,i,short,2018-10-12 22:30:00,513.0,2018-10-15 13:45:00,511.0,100.0
1303,2018-10-16 00:00:00,i,long,2018-10-16 23:00:00,508.5,2018-10-17 13:45:00,513.0,350.0
1304,2018-10-18 00:00:00,i,short,2018-10-18 13:45:00,522.0,2018-10-18 23:30:00,519.0,200.0
1305,2018-10-19 00:00:00,i,long,2018-10-19 22:30:00,518.5,2018-10-22 13:45:00,523.5,400.0
1306,2018-10-22 00:00:00,i,short,2018-10-22 22:00:00,522.5,2018-10-22 23:00:00,524.5,-300.0
1307,2018-10-22 00:00:00,i,long,2018-10-22 23:00:00,524.5,2018-10-23 10:00:00,524.0,-150.0
1308,2018-10-23 00:00:00,i,short,2018-10-23 10:00:00,524.0,2018-10-23 13:45:00,523.0,-0.0
1309,2018-10-24 00:00:00,i,long,2018-10-24 10:00:00,524.5,2018-10-24 13:45:00,529.0,350.0
1310,2018-10-25 00:00:00,i,short,2018-10-25 09:30:00,528.0,2018-10-25 11:15:00,533.5,-650.0
1311,2018-10-26 00:00:00,i,long,2018-10-26 11:15:00,535.0,2018-10-26 13:45:00,533.5,-250.0
1312,2018-10-26 00:00:00,i,short,2018-10-26 13:45:00,533.5,2018-10-26 15:00:00,538.5,-600.0
1313,2018-10-26 00:00:00,i,long,2018-10-26 15:00:00,538.5,2018-10-29 10:45:00,539.0,-50.0
1314,2018-10-29 00:00:00,i,short,2018-10-29 10:45:00,539.0,2018-10-29 13:45:00,539.0,-100.0
1315,2018-10-30 00:00:00,i,long,2018-10-30 13:45:00,540.0,2018-10-30 21:30:00,532.5,-850.0
1316,2018-10-30 00:00:00,i,short,2018-10-30 21:30:00,532.5,2018-10-31 10:45:00,535.5,-400.0
1317,2018-10-31 00:00:00,i,long,2018-10-31 21:30:00,534.0,2018-11-01 10:00:00,531.0,-400.0
1318,2018-11-01 00:00:00,i,short,2018-11-01 10:00:00,531.0,2018-11-01 13:45:00,524.5,550.0
1319,2018-11-02 00:00:00,i,long,2018-11-02 22:00:00,508.5,2018-11-05 11:15:00,512.5,300.0
1320,2018-11-06 00:00:00,i,short,2018-11-06 14:15:00,510.5,2018-11-07 10:00:00,508.5,100.0
1321,2018-11-07 00:00:00,i,long,2018-11-07 13:45:00,510.5,2018-11-07 23:30:00,512.0,50.0
1322,2018-11-08 00:00:00,i,short,2018-11-08 13:45:00,509.5,2018-11-08 14:15:00,518.5,-1000.0
1323,2018-11-08 00:00:00,i,long,2018-11-08 14:15:00,518.5,2018-11-09 10:00:00,522.5,300.0
1324,2018-11-09 00:00:00,i,short,2018-11-09 22:30:00,521.5,2018-11-12 13:45:00,519.0,150.0
1325,2018-11-13 00:00:00,i,long,2018-11-13 10:45:00,520.0,2018-11-13 11:15:00,515.5,-550.0
1326,2018-11-13 00:00:00,i,short,2018-11-13 11:15:00,515.5,2018-11-13 14:15:00,515.0,-50.0
1327,2018-11-14 00:00:00,i,long,2018-11-14 14:15:00,510.0,2018-11-15 10:00:00,511.0,0.0
1328,2018-11-16 00:00:00,i,short,2018-11-16 14:15:00,518.5,2018-11-19 09:30:00,526.0,-850.0
1329,2018-11-19 00:00:00,i,long,2018-11-19 09:30:00,526.0,2018-11-19 13:45:00,523.5,-350.0
1330,2018-11-19 00:00:00,i,short,2018-11-19 22:00:00,526.0,2018-11-20 11:15:00,523.0,200.0
1331,2018-11-21 00:00:00,i,long,2018-11-21 13:45:00,511.5,2018-11-21 15:00:00,526.5,1400.0
1332,2018-11-22 00:00:00,i,short,2018-11-22 14:15:00,517.0,2018-11-23 10:00:00,511.0,500.0
1333,2018-11-26 00:00:00,i,long,2018-11-26 23:00:00,473.0,2018-11-27 09:30:00,465.5,-1700.0
1334,2018-11-30 00:00:00,i,short,2018-11-30 10:45:00,476.5,2018-11-30 11:15:00,480.0,-900.0
1335,2018-11-30 00:00:00,i,long,2018-11-30 11:15:00,480.0,2018-11-30 14:15:00,478.0,-600.0
1336,2018-11-30 00:00:00,i,short,2018-11-30 14:15:00,478.0,2018-11-30 15:00:00,482.0,-1000.0
1337,2018-11-30 00:00:00,i,long,2018-11-30 15:00:00,482.0,2018-11-30 22:30:00,479.5,-700.0
1338,2018-11-30 00:00:00,i,short,2018-11-30 22:30:00,479.5,2018-11-30 23:00:00,480.5,-400.0
1339,2018-11-30 00:00:00,i,long,2018-11-30 23:00:00,480.5,2018-12-03 09:30:00,498.5,3400.0
1340,2018-12-03 00:00:00,i,short,2018-12-03 21:30:00,463.0,2018-12-04 10:45:00,463.5,-300.0
1341,2018-12-04 00:00:00,i,long,2018-12-04 15:00:00,471.5,2018-12-05 10:45:00,470.5,-400.0
1342,2018-12-06 00:00:00,i,short,2018-12-06 09:30:00,469.5,2018-12-06 13:45:00,469.5,-200.0
1343,2018-12-07 00:00:00,i,long,2018-12-07 10:00:00,469.5,2018-12-07 13:45:00,471.0,100.0
1344,2018-12-10 00:00:00,i,short,2018-12-10 09:30:00,469.5,2018-12-10 13:45:00,471.0,-500.0
1345,2018-12-10 00:00:00,i,long,2018-12-10 14:15:00,474.5,2018-12-10 23:30:00,471.5,-800.0
1346,2018-12-10 00:00:00,i,short,2018-12-10 23:30:00,471.5,2018-12-11 11:15:00,473.0,-500.0
1347,2018-12-11 00:00:00,i,long,2018-12-11 11:15:00,473.0,2018-12-11 13:45:00,470.5,-700.0
1348,2018-12-11 00:00:00,i,short,2018-12-11 13:45:00,470.5,2018-12-11 15:00:00,472.5,-600.0
1349,2018-12-11 00:00:00,i,long,2018-12-11 15:00:00,472.5,2018-12-12 10:45:00,478.5,1000.0
1350,2018-12-12 00:00:00,i,short,2018-12-12 13:45:00,474.0,2018-12-12 23:30:00,475.5,-500.0
1351,2018-12-13 00:00:00,i,long,2018-12-13 11:15:00,478.0,2018-12-13 14:15:00,478.5,-100.0
1352,2018-12-14 00:00:00,i,short,2018-12-14 10:45:00,481.0,2018-12-14 11:15:00,482.5,-500.0
1353,2018-12-14 00:00:00,i,long,2018-12-14 11:15:00,482.5,2018-12-14 13:45:00,480.0,-700.0
1354,2018-12-14 00:00:00,i,short,2018-12-14 13:45:00,480.0,2018-12-14 21:30:00,484.0,-1000.0
1355,2018-12-14 00:00:00,i,long,2018-12-14 21:30:00,484.0,2018-12-17 10:45:00,488.5,700.0
1356,2018-12-17 00:00:00,i,short,2018-12-17 13:45:00,488.5,2018-12-17 14:15:00,490.5,-600.0
1357,2018-12-17 00:00:00,i,long,2018-12-17 14:15:00,490.5,2018-12-17 15:00:00,488.0,-700.0
1358,2018-12-17 00:00:00,i,short,2018-12-17 15:00:00,488.0,2018-12-18 10:45:00,488.5,-300.0
1359,2018-12-18 00:00:00,i,long,2018-12-18 23:00:00,490.0,2018-12-19 10:00:00,486.5,-900.0
1360,2018-12-19 00:00:00,i,short,2018-12-19 10:00:00,486.5,2018-12-19 13:45:00,487.0,-300.0
1361,2018-12-19 00:00:00,i,long,2018-12-19 23:00:00,489.5,2018-12-20 13:45:00,490.5,0.0
1362,2018-12-21 00:00:00,i,short,2018-12-21 10:00:00,495.5,2018-12-21 13:45:00,494.5,-0.0
1363,2018-12-24 00:00:00,i,long,2018-12-24 15:00:00,491.5,2018-12-25 09:30:00,485.0,-1500.0
1364,2018-12-25 00:00:00,i,short,2018-12-25 09:30:00,485.0,2018-12-25 13:45:00,484.5,-100.0
1365,2018-12-25 00:00:00,i,long,2018-12-25 21:30:00,488.5,2018-12-26 10:45:00,490.0,100.0
1366,2018-12-27 00:00:00,i,short,2018-12-27 10:45:00,490.5,2018-12-27 13:45:00,488.5,200.0
1367,2018-12-27 00:00:00,i,long,2018-12-27 21:30:00,493.5,2018-12-27 23:30:00,489.5,-1000.0
1368,2018-12-27 00:00:00,i,short,2018-12-27 23:30:00,489.5,2018-12-28 09:30:00,492.5,-800.0
1369,2018-12-28 00:00:00,i,long,2018-12-28 09:30:00,492.5,2018-12-28 13:45:00,494.0,100.0
1370,2019-01-02 00:00:00,i,short,2019-01-02 10:45:00,491.5,2019-01-02 13:45:00,490.0,100.0
1371,2019-01-02 00:00:00,i,long,2019-01-02 22:30:00,493.5,2019-01-03 13:45:00,496.5,400.0
1372,2019-01-04 00:00:00,i,short,2019-01-04 22:30:00,508.0,2019-01-07 13:45:00,507.5,-50.0
1373,2019-01-07 00:00:00,i,long,2019-01-07 15:00:00,514.5,2019-01-07 22:30:00,511.5,-400.0
1374,2019-01-07 00:00:00,i,short,2019-01-07 22:30:00,511.5,2019-01-07 23:30:00,513.5,-300.0
1375,2019-01-07 00:00:00,i,long,2019-01-07 23:30:00,513.5,2019-01-08 09:30:00,511.0,-350.0
1376,2019-01-08 00:00:00,i,short,2019-01-08 09:30:00,511.0,2019-01-08 13:45:00,511.5,-150.0
1377,2019-01-10 00:00:00,i,long,2019-01-10 23:00:00,509.0,2019-01-11 13:45:00,509.0,-100.0
